ExternalId__c,Active__c,Invoice__r.ExternalId__c,Line_Amount__c,Line_Description__c
1,TRUE,744,2331.39,Aztek
2,TRUE,287,1942.53,SJ
3,FALSE,290,783.06,GTI
4,FALSE,812,1969,GTO
5,FALSE,768,2396.1,Cooper Clubman
6,TRUE,870,1299.52,Rally Wagon 3500
7,FALSE,583,1892.33,Rio5
8,TRUE,674,2511.69,S2000
9,FALSE,537,1298.81,Millenia
10,TRUE,847,2349.17,GLK-Class
11,FALSE,18,1613.29,Trans Sport
12,FALSE,268,1696.59,Mustang
13,FALSE,765,2105.75,F-Series
14,FALSE,302,392.03,Aurora
15,TRUE,928,3010.67,Rally Wagon 2500
16,FALSE,728,2501.11,TSX
17,TRUE,121,990.65,Savana 2500
18,TRUE,114,2478.9,Tahoe
19,TRUE,310,2794.56,Ram 2500
20,TRUE,743,1632.89,Corolla
21,FALSE,814,2364.27,Cavalier
22,TRUE,86,1442.94,Phaeton
23,FALSE,817,2283.43,RVR
24,FALSE,393,3228.63,Cube
25,TRUE,267,2105.26,Suburban 1500
26,FALSE,477,2908.76,Express
27,TRUE,147,1990.73,Ram 2500 Club
28,FALSE,784,1375.67,Cavalier
29,TRUE,933,1563.33,Frontier
30,TRUE,283,2025.56,Ion
31,TRUE,546,2850.49,Passat
32,TRUE,255,2067.82,100
33,FALSE,70,2470.76,Sable
34,TRUE,459,752.42,F350
35,TRUE,171,,
36,FALSE,903,2288.81,A4
37,TRUE,883,2146.48,Envoy
38,FALSE,579,,
39,FALSE,568,1878.81,Magnum
40,FALSE,407,3177.63,S5
41,FALSE,98,,
42,FALSE,723,1818.2,V40
43,FALSE,167,1726.33,Armada
44,FALSE,936,1442.33,Grand Cherokee
45,FALSE,451,1263.99,DeVille
46,FALSE,747,2950.06,Leone
47,FALSE,433,1862.28,MDX
48,TRUE,176,1619.08,626
49,FALSE,350,3150.19,LS
50,FALSE,276,3003.82,Continental GT
51,TRUE,655,1709.49,Impreza
52,FALSE,157,1448.8,Accord
53,TRUE,351,1664.79,Entourage
54,TRUE,440,1177.56,S-Series
55,TRUE,263,816.8,Silhouette
56,FALSE,410,1533.7,Model T
57,FALSE,790,2125.24,2500 Club Coupe
58,TRUE,325,1571.92,B-Series
59,TRUE,890,2555.64,I
60,FALSE,799,848,Sonata
61,FALSE,641,2729.34,Outlander
62,FALSE,741,2839.33,Suburban 2500
63,FALSE,801,2118.63,Elantra
64,FALSE,612,2010.4,Prizm
65,FALSE,384,1291.92,Camry
66,TRUE,732,1908.74,Concorde
67,TRUE,874,,
68,TRUE,682,2572.5,Sierra 3500HD
69,FALSE,342,2240.08,612 Scaglietti
70,FALSE,811,2306.01,H2 SUT
71,TRUE,197,3159.83,Trans Sport
72,FALSE,198,1459.46,Land Cruiser
73,TRUE,139,1445.81,Swift
74,FALSE,926,1813.22,Suburban 1500
75,TRUE,480,,
76,TRUE,172,3192.49,Cougar
77,FALSE,575,1350.21,Monterey
78,FALSE,869,1951.68,Sierra Hybrid
79,FALSE,396,1689.76,STS
80,FALSE,308,1104.67,Blazer
81,TRUE,881,1885.8,Cube
82,FALSE,647,2837.39,Caravan
83,FALSE,724,2820.32,600SEL
84,TRUE,239,1500.83,Rodeo Sport
85,TRUE,967,1526.52,Econoline E350
86,FALSE,353,3044.77,Volare
87,FALSE,925,2166.13,Civic
88,TRUE,225,2626.42,Odyssey
89,FALSE,273,2595.18,Mighty Max
90,FALSE,365,2623.05,Grand Prix
91,TRUE,8,1913.58,GTO
92,TRUE,950,973.62,Accent
93,FALSE,644,1981.92,MKX
94,TRUE,411,1611.12,E350
95,TRUE,963,935.18,Town & Country
96,FALSE,866,1801.05,Milan
97,FALSE,864,2282.12,Fox
98,FALSE,429,1879.32,Dakota Club
99,TRUE,527,2845.4,B-Series
